State,Action,Reword
"(1,P)",P,19.339340892805154
"(2,P)",P,19.340241541743637
"(3,P)",P,33.87621431859276
"(4,P)",P,19.057702897507955
"(5,P)",P,12.243900882691403
"(1,E1)",C1,-35.65
"(1,E2)",T,-0.4126610155911478
"(1,E2)",INR1,-0.4126610155911478
"(1,E2)",R2,-0.9685540040864613
"(1,E2)",R3,-1.2779737498766397
"(1,E2)",R4,-1.6404120980879027
"(1,E2)",R5,-1.4513252153316962
"(1,E3)",T,-0.4126610155911478
"(1,E3)",INR1,-0.4126610155911478
"(1,E3)",R2,-0.9685540040864613
"(1,E3)",R3,-1.2779737498766397
"(1,E3)",R4,-1.6404120980879027
"(1,E3)",R5,-1.4513252153316962
"(1,E4)",T,-0.4126610155911478
"(1,E4)",INR1,-0.4126610155911478
"(1,E4)",R2,-0.9685540040864613
"(1,E4)",R3,-1.2779737498766397
"(1,E4)",R4,-1.6404120980879027
"(1,E4)",R5,-1.4513252153316962
"(2,E1)",C2,-35.65
"(2,E2)",T,-0.25044641498589143
"(2,E2)",R1,-0.8460881994520449
"(2,E2)",INR2,-0.25044641498589143
"(2,E2)",R3,-1.066233513603893
"(2,E2)",R4,-2.1347119946504094
"(2,E2)",R5,-0.8930225126164734
"(2,E3)",T,-0.25044641498589143
"(2,E3)",R1,-0.8460881994520449
"(2,E3)",INR2,-0.25044641498589143
"(2,E3)",R3,-1.066233513603893
"(2,E3)",R4,-2.1347119946504094
"(2,E3)",R5,-0.8930225126164734
"(2,E4)",T,-0.25044641498589143
"(2,E4)",R1,-0.8460881994520449
"(2,E4)",INR2,-0.25044641498589143
"(2,E4)",R3,-1.066233513603893
"(2,E4)",R4,-2.1347119946504094
"(2,E4)",R5,-0.8930225126164734
"(3,E1)",C3,-35.65
"(3,E2)",T,-0.3494154185011852
"(3,E2)",R1,-1.190119583348094
"(3,E2)",R2,-1.1598237339009483
"(3,E2)",INR3,-0.3494154185011852
"(3,E2)",R4,-3.0497290380027313
"(3,E2)",R5,-2.2716683842846765
"(3,E3)",T,-0.3494154185011852
"(3,E3)",R1,-1.190119583348094
"(3,E3)",R2,-1.1598237339009483
"(3,E3)",INR3,-0.3494154185011852
"(3,E3)",R4,-3.0497290380027313
"(3,E3)",R5,-2.2716683842846765
"(3,E4)",T,-0.3494154185011852
"(3,E4)",R1,-1.190119583348094
"(3,E4)",R2,-1.1598237339009483
"(3,E4)",INR3,-0.3494154185011852
"(3,E4)",R4,-3.0497290380027313
"(3,E4)",R5,-2.2716683842846765
"(4,E1)",C4,-35.65
"(4,E2)",T,-0.6023717744108161
"(4,E2)",R1,-1.4289131455298647
"(4,E2)",R2,-1.8885528478795337
"(4,E2)",R3,-2.6470465436984925
"(4,E2)",INR4,-0.6023717744108161
"(4,E2)",R5,-1.0787862656706833
"(4,E3)",T,-0.6023717744108161
"(4,E3)",R1,-1.4289131455298647
"(4,E3)",R2,-1.8885528478795337
"(4,E3)",R3,-2.6470465436984925
"(4,E3)",INR4,-0.6023717744108161
"(4,E3)",R5,-1.0787862656706833
"(4,E4)",T,-0.6023717744108161
"(4,E4)",R1,-1.4289131455298647
"(4,E4)",R2,-1.8885528478795337
"(4,E4)",R3,-2.6470465436984925
"(4,E4)",INR4,-0.6023717744108161
"(4,E4)",R5,-1.0787862656706833
"(5,E1)",C5,-35.65
"(5,E2)",T,-0.3079518996011425
"(5,E2)",R1,-1.3861520372649092
"(5,E2)",R2,-0.7301491209341313
"(5,E2)",R3,-1.9383080705166544
"(5,E2)",R4,-1.110380737810565
"(5,E2)",INR5,-0.3079518996011425
"(5,E3)",T,-0.3079518996011425
"(5,E3)",R1,-1.3861520372649092
"(5,E3)",R2,-0.7301491209341313
"(5,E3)",R3,-1.9383080705166544
"(5,E3)",R4,-1.110380737810565
"(5,E3)",INR5,-0.3079518996011425
"(5,E4)",T,-0.3079518996011425
"(5,E4)",R1,-1.3861520372649092
"(5,E4)",R2,-0.7301491209341313
"(5,E4)",R3,-1.9383080705166544
"(5,E4)",R4,-1.110380737810565
"(5,E4)",INR5,-0.3079518996011425
